"","algo","model","method","size","cpt.density","beta","alpha","nbLoops","m1","exec","exec.time","nb.cpts","nb"
"dust",dust,exp,detIndex_Eval4,500,40,12.4292161968444,1e-09,10,0.01,7,644356,1,10
"fpop",fpop,exp,,500,40,12.4292161968444,1e-09,10,0.01,7,6891403,1,NA
"dust",dust,exp,detIndex_Eval4,500,50,12.4292161968444,1e-09,10,0.01,7,1542707,1,7
"fpop",fpop,exp,,500,50,12.4292161968444,1e-09,10,0.01,7,4482858,1,NA
"dust",dust,exp,detIndex_Eval4,100,0,9.21034037197618,1e-09,10,0.01,8,966698,1,7
"fpop",fpop,exp,,100,0,9.21034037197618,1e-09,10,0.01,8,8860141,1,NA
"dust",dust,exp,detIndex_Eval4,100,10,9.21034037197618,1e-09,10,0.01,8,1044680,1,8
"fpop",fpop,exp,,100,10,9.21034037197618,1e-09,10,0.01,8,9002001,1,NA
"dust",dust,exp,detIndex_Eval4,100,20,9.21034037197618,1e-09,10,0.01,8,463054,1,5
"fpop",fpop,exp,,100,20,9.21034037197618,1e-09,10,0.01,8,2792141,1,NA
"dust",dust,exp,detIndex_Eval4,100,30,9.21034037197618,1e-09,10,0.01,8,3316900,1,6
"fpop",fpop,exp,,100,30,9.21034037197618,1e-09,10,0.01,8,2604730,1,NA
"dust",dust,exp,detIndex_Eval4,100,40,9.21034037197618,1e-09,10,0.01,8,439889,1,6
"fpop",fpop,exp,,100,40,9.21034037197618,1e-09,10,0.01,8,3131498,1,NA
"dust",dust,exp,detIndex_Eval4,100,50,9.21034037197618,1e-09,10,0.01,8,481504,2,8
"fpop",fpop,exp,,100,50,9.21034037197618,1e-09,10,0.01,8,2680375,1,NA
"dust",dust,exp,detIndex_Eval4,223.606797749979,0,10.8197782844103,1e-09,10,0.01,8,1538238,1,7
"fpop",fpop,exp,,223.606797749979,0,10.8197782844103,1e-09,10,0.01,8,3261140,1,NA
"dust",dust,exp,detIndex_Eval4,223.606797749979,10,10.8197782844103,1e-09,10,0.01,8,1406710,1,7
