"","algo","model","method","size","cpt.density","beta","alpha","nbLoops","m1","exec","exec.time","nb.cpts","nb"
"dust",dust,poisson,detIndex_Eval4,500,0,4.14307206561479,1e-09,10,0.01,5,815039,1,8
"fpop",fpop,poisson,,500,0,4.14307206561479,1e-09,10,0.01,5,8869366,1,NA
"dust",dust,poisson,detIndex_Eval4,500,10,4.14307206561479,1e-09,10,0.01,5,775884,5,10
"fpop",fpop,poisson,,500,10,4.14307206561479,1e-09,10,0.01,5,11179265,1,NA
"dust",dust,poisson,detIndex_Eval4,500,20,4.14307206561479,1e-09,10,0.01,5,719017,18,4
"fpop",fpop,poisson,,500,20,4.14307206561479,1e-09,10,0.01,5,10560411,1,NA
"dust",dust,poisson,detIndex_Eval4,500,30,4.14307206561479,1e-09,10,0.01,5,699583,13,11
"fpop",fpop,poisson,,500,30,4.14307206561479,1e-09,10,0.01,5,4521808,1,NA
"dust",dust,poisson,detIndex_Eval4,500,40,4.14307206561479,1e-09,10,0.01,5,1489612,12,6
"fpop",fpop,poisson,,500,40,4.14307206561479,1e-09,10,0.01,5,20340469,1,NA
"dust",dust,poisson,detIndex_Eval4,500,50,4.14307206561479,1e-09,10,0.01,5,606144,12,5
"fpop",fpop,poisson,,500,50,4.14307206561479,1e-09,10,0.01,5,5719869,5,NA
"dust",dust,poisson,detIndex_Eval4,100,0,3.07011345732539,1e-09,10,0.01,6,1125122,1,6
"fpop",fpop,poisson,,100,0,3.07011345732539,1e-09,10,0.01,6,3937681,1,NA
"dust",dust,poisson,detIndex_Eval4,100,10,3.07011345732539,1e-09,10,0.01,6,1094700,1,7
"fpop",fpop,poisson,,100,10,3.07011345732539,1e-09,10,0.01,6,3080863,1,NA
"dust",dust,poisson,detIndex_Eval4,100,20,3.07011345732539,1e-09,10,0.01,6,1490309,3,6
"fpop",fpop,poisson,,100,20,3.07011345732539,1e-09,10,0.01,6,11645845,2,NA
"dust",dust,poisson,detIndex_Eval4,100,30,3.07011345732539,1e-09,10,0.01,6,1028157,7,7
"fpop",fpop,poisson,,100,30,3.07011345732539,1e-09,10,0.01,6,3214728,1,NA
"dust",dust,poisson,detIndex_Eval4,100,40,3.07011345732539,1e-09,10,0.01,6,340997,3,9
"fpop",fpop,poisson,,100,40,3.07011345732539,1e-09,10,0.01,6,15256838,1,NA
"dust",dust,poisson,detIndex_Eval4,100,50,3.07011345732539,1e-09,10,0.01,6,1169607,2,9
"fpop",fpop,poisson,,100,50,3.07011345732539,1e-09,10,0.01,6,2906121,2,NA
"dust",dust,poisson,detIndex_Eval4,223.606797749979,0,3.60659276147009,1e-09,10,0.01,6,558502,1,9
"fpop",fpop,poisson,,223.606797749979,0,3.60659276147009,1e-09,10,0.01,6,8329847,1,NA
"dust",dust,poisson,detIndex_Eval4,223.606797749979,10,3.60659276147009,1e-09,10,0.01,6,1314911,8,7
"fpop",fpop,poisson,,223.606797749979,10,3.60659276147009,1e-09,10,0.01,6,3402016,1,NA
"dust",dust,poisson,detIndex_Eval4,223.606797749979,20,3.60659276147009,1e-09,10,0.01,6,1141809,11,4
"fpop",fpop,poisson,,223.606797749979,20,3.60659276147009,1e-09,10,0.01,6,3157041,1,NA
"dust",dust,poisson,detIndex_Eval4,223.606797749979,30,3.60659276147009,1e-09,10,0.01,6,1293632,6,5
"fpop",fpop,poisson,,223.606797749979,30,3.60659276147009,1e-09,10,0.01,6,6526995,3,NA
"dust",dust,poisson,detIndex_Eval4,223.606797749979,40,3.60659276147009,1e-09,10,0.01,6,551819,7,9
"fpop",fpop,poisson,,223.606797749979,40,3.60659276147009,1e-09,10,0.01,6,6281897,1,NA
"dust",dust,poisson,detIndex_Eval4,223.606797749979,50,3.60659276147009,1e-09,10,0.01,6,466088,5,5
"fpop",fpop,poisson,,223.606797749979,50,3.60659276147009,1e-09,10,0.01,6,6923342,5,NA
"dust",dust,poisson,detIndex_Eval4,500,0,4.14307206561479,1e-09,10,0.01,6,771620,1,9
"fpop",fpop,poisson,,500,0,4.14307206561479,1e-09,10,0.01,6,5902852,1,NA
"dust",dust,poisson,detIndex_Eval4,500,10,4.14307206561479,1e-09,10,0.01,6,640502,1,7
"fpop",fpop,poisson,,500,10,4.14307206561479,1e-09,10,0.01,6,18639297,1,NA
"dust",dust,poisson,detIndex_Eval4,500,20,4.14307206561479,1e-09,10,0.01,6,689702,11,10
"fpop",fpop,poisson,,500,20,4.14307206561479,1e-09,10,0.01,6,9742830,1,NA
"dust",dust,poisson,detIndex_Eval4,500,30,4.14307206561479,1e-09,10,0.01,6,1657179,14,7
"fpop",fpop,poisson,,500,30,4.14307206561479,1e-09,10,0.01,6,18210232,1,NA
"dust",dust,poisson,detIndex_Eval4,500,40,4.14307206561479,1e-09,10,0.01,6,707660,10,13
"fpop",fpop,poisson,,500,40,4.14307206561479,1e-09,10,0.01,6,12125217,7,NA
"dust",dust,poisson,detIndex_Eval4,500,50,4.14307206561479,1e-09,10,0.01,6,614426,10,5
"fpop",fpop,poisson,,500,50,4.14307206561479,1e-09,10,0.01,6,9548531,2,NA
"dust",dust,poisson,detIndex_Eval4,100,0,3.07011345732539,1e-09,10,0.01,7,1250336,1,11
"fpop",fpop,poisson,,100,0,3.07011345732539,1e-09,10,0.01,7,4373675,1,NA
"dust",dust,poisson,detIndex_Eval4,100,10,3.07011345732539,1e-09,10,0.01,7,1187114,6,9
"fpop",fpop,poisson,,100,10,3.07011345732539,1e-09,10,0.01,7,6366234,1,NA
"dust",dust,poisson,detIndex_Eval4,100,20,3.07011345732539,1e-09,10,0.01,7,399381,6,5
"fpop",fpop,poisson,,100,20,3.07011345732539,1e-09,10,0.01,7,2896240,3,NA
"dust",dust,poisson,detIndex_Eval4,100,30,3.07011345732539,1e-09,10,0.01,7,2076691,7,8
"fpop",fpop,poisson,,100,30,3.07011345732539,1e-09,10,0.01,7,17433979,4,NA
"dust",dust,poisson,detIndex_Eval4,100,40,3.07011345732539,1e-09,10,0.01,7,1737334,3,6
"fpop",fpop,poisson,,100,40,3.07011345732539,1e-09,10,0.01,7,20848910,1,NA
"dust",dust,poisson,detIndex_Eval4,100,50,3.07011345732539,1e-09,10,0.01,7,557026,2,9
"fpop",fpop,poisson,,100,50,3.07011345732539,1e-09,10,0.01,7,3028465,2,NA
"dust",dust,poisson,detIndex_Eval4,223.606797749979,0,3.60659276147009,1e-09,10,0.01,7,3075902,1,10
"fpop",fpop,poisson,,223.606797749979,0,3.60659276147009,1e-09,10,0.01,7,2993246,1,NA
"dust",dust,poisson,detIndex_Eval4,223.606797749979,10,3.60659276147009,1e-09,10,0.01,7,563340,14,5
"fpop",fpop,poisson,,223.606797749979,10,3.60659276147009,1e-09,10,0.01,7,3304641,1,NA
"dust",dust,poisson,detIndex_Eval4,223.606797749979,20,3.60659276147009,1e-09,10,0.01,7,581339,14,5
"fpop",fpop,poisson,,223.606797749979,20,3.60659276147009,1e-09,10,0.01,7,3826202,1,NA
"dust",dust,poisson,detIndex_Eval4,223.606797749979,30,3.60659276147009,1e-09,10,0.01,7,624881,7,5
"fpop",fpop,poisson,,223.606797749979,30,3.60659276147009,1e-09,10,0.01,7,10140653,6,NA
"dust",dust,poisson,detIndex_Eval4,223.606797749979,40,3.60659276147009,1e-09,10,0.01,7,9474813,6,6
"fpop",fpop,poisson,,223.606797749979,40,3.60659276147009,1e-09,10,0.01,7,7597218,1,NA
"dust",dust,poisson,detIndex_Eval4,223.606797749979,50,3.60659276147009,1e-09,10,0.01,7,589375,6,8
"fpop",fpop,poisson,,223.606797749979,50,3.60659276147009,1e-09,10,0.01,7,10721459,4,NA
"dust",dust,poisson,detIndex_Eval4,500,0,4.14307206561479,1e-09,10,0.01,7,760960,5,6
"fpop",fpop,poisson,,500,0,4.14307206561479,1e-09,10,0.01,7,15093740,1,NA
"dust",dust,poisson,detIndex_Eval4,500,10,4.14307206561479,1e-09,10,0.01,7,2757004,16,5
"fpop",fpop,poisson,,500,10,4.14307206561479,1e-09,10,0.01,7,6694070,1,NA
"dust",dust,poisson,detIndex_Eval4,500,20,4.14307206561479,1e-09,10,0.01,7,633778,20,12
"fpop",fpop,poisson,,500,20,4.14307206561479,1e-09,10,0.01,7,8382696,1,NA
"dust",dust,poisson,detIndex_Eval4,500,30,4.14307206561479,1e-09,10,0.01,7,1696293,14,10
"fpop",fpop,poisson,,500,30,4.14307206561479,1e-09,10,0.01,7,15736292,1,NA
"dust",dust,poisson,detIndex_Eval4,500,40,4.14307206561479,1e-09,10,0.01,7,595853,13,5
"fpop",fpop,poisson,,500,40,4.14307206561479,1e-09,10,0.01,7,5240989,6,NA
"dust",dust,poisson,detIndex_Eval4,500,50,4.14307206561479,1e-09,10,0.01,7,1211181,8,5
"fpop",fpop,poisson,,500,50,4.14307206561479,1e-09,10,0.01,7,5025862,2,NA
"dust",dust,poisson,detIndex_Eval4,100,0,3.07011345732539,1e-09,10,0.01,8,1134019,5,10
"fpop",fpop,poisson,,100,0,3.07011345732539,1e-09,10,0.01,8,5431926,1,NA
"dust",dust,poisson,detIndex_Eval4,100,10,3.07011345732539,1e-09,10,0.01,8,3796067,4,6
"fpop",fpop,poisson,,100,10,3.07011345732539,1e-09,10,0.01,8,2853969,1,NA
"dust",dust,poisson,detIndex_Eval4,100,20,3.07011345732539,1e-09,10,0.01,8,491754,6,6
"fpop",fpop,poisson,,100,20,3.07011345732539,1e-09,10,0.01,8,4903764,3,NA
"dust",dust,poisson,detIndex_Eval4,100,30,3.07011345732539,1e-09,10,0.01,8,375683,6,9
"fpop",fpop,poisson,,100,30,3.07011345732539,1e-09,10,0.01,8,7165201,3,NA
"dust",dust,poisson,detIndex_Eval4,100,40,3.07011345732539,1e-09,10,0.01,8,334191,3,5
"fpop",fpop,poisson,,100,40,3.07011345732539,1e-09,10,0.01,8,2707763,3,NA
