"","algo","model","method","size","cpt.density","beta","alpha","nbLoops","m1","exec","exec.time","nb.cpts","nb"
"dust",dust,negbin,detIndex_Eval4,223.606797749979,30,1.08197782844103,1e-09,10,0.01,6,480684,10,4
"fpop",fpop,negbin,,223.606797749979,30,1.08197782844103,1e-09,10,0.01,6,3607836,1,NA
"dust",dust,negbin,detIndex_Eval4,223.606797749979,40,1.08197782844103,1e-09,10,0.01,6,473304,6,4
"fpop",fpop,negbin,,223.606797749979,40,1.08197782844103,1e-09,10,0.01,6,19604765,1,NA
"dust",dust,negbin,detIndex_Eval4,223.606797749979,50,1.08197782844103,1e-09,10,0.01,6,498888,5,6
"fpop",fpop,negbin,,223.606797749979,50,1.08197782844103,1e-09,10,0.01,6,24224850,5,NA
"dust",dust,negbin,detIndex_Eval4,500,0,1.24292161968444,1e-09,10,0.01,6,1825320,1,8
"fpop",fpop,negbin,,500,0,1.24292161968444,1e-09,10,0.01,6,10238110,1,NA
"dust",dust,negbin,detIndex_Eval4,500,10,1.24292161968444,1e-09,10,0.01,6,10695670,18,6
"fpop",fpop,negbin,,500,10,1.24292161968444,1e-09,10,0.01,6,34040455,1,NA
"dust",dust,negbin,detIndex_Eval4,500,20,1.24292161968444,1e-09,10,0.01,6,691916,28,4
"fpop",fpop,negbin,,500,20,1.24292161968444,1e-09,10,0.01,6,27066888,1,NA
"dust",dust,negbin,detIndex_Eval4,500,30,1.24292161968444,1e-09,10,0.01,6,628817,17,3
"fpop",fpop,negbin,,500,30,1.24292161968444,1e-09,10,0.01,6,7979461,1,NA
"dust",dust,negbin,detIndex_Eval4,500,40,1.24292161968444,1e-09,10,0.01,6,708644,13,2
"fpop",fpop,negbin,,500,40,1.24292161968444,1e-09,10,0.01,6,19688651,11,NA
"dust",dust,negbin,detIndex_Eval4,500,50,1.24292161968444,1e-09,10,0.01,6,803682,10,7
"fpop",fpop,negbin,,500,50,1.24292161968444,1e-09,10,0.01,6,6615391,10,NA
"dust",dust,negbin,detIndex_Eval4,100,0,0.921034037197618,1e-09,10,0.01,7,1189328,1,8
"fpop",fpop,negbin,,100,0,0.921034037197618,1e-09,10,0.01,7,6286120,1,NA
"dust",dust,negbin,detIndex_Eval4,100,10,0.921034037197618,1e-09,10,0.01,7,490483,9,5
"fpop",fpop,negbin,,100,10,0.921034037197618,1e-09,10,0.01,7,16662646,1,NA
"dust",dust,negbin,detIndex_Eval4,100,20,0.921034037197618,1e-09,10,0.01,7,445916,7,3
"fpop",fpop,negbin,,100,20,0.921034037197618,1e-09,10,0.01,7,2972500,3,NA
"dust",dust,negbin,detIndex_Eval4,100,30,0.921034037197618,1e-09,10,0.01,7,451082,4,7
"fpop",fpop,negbin,,100,30,0.921034037197618,1e-09,10,0.01,7,3163642,3,NA
"dust",dust,negbin,detIndex_Eval4,100,40,0.921034037197618,1e-09,10,0.01,7,489581,3,6
"fpop",fpop,negbin,,100,40,0.921034037197618,1e-09,10,0.01,7,4951447,1,NA
"dust",dust,negbin,detIndex_Eval4,100,50,0.921034037197618,1e-09,10,0.01,7,439807,4,9
"fpop",fpop,negbin,,100,50,0.921034037197618,1e-09,10,0.01,7,5095152,2,NA
"dust",dust,negbin,detIndex_Eval4,223.606797749979,0,1.08197782844103,1e-09,10,0.01,7,709136,1,10
"fpop",fpop,negbin,,223.606797749979,0,1.08197782844103,1e-09,10,0.01,7,3376145,1,NA
"dust",dust,negbin,detIndex_Eval4,223.606797749979,10,1.08197782844103,1e-09,10,0.01,7,1256855,11,5
"fpop",fpop,negbin,,223.606797749979,10,1.08197782844103,1e-09,10,0.01,7,9026232,1,NA
"dust",dust,negbin,detIndex_Eval4,223.606797749979,20,1.08197782844103,1e-09,10,0.01,7,570966,12,5
"fpop",fpop,negbin,,223.606797749979,20,1.08197782844103,1e-09,10,0.01,7,9885838,1,NA
"dust",dust,negbin,detIndex_Eval4,223.606797749979,30,1.08197782844103,1e-09,10,0.01,7,518363,9,4
"fpop",fpop,negbin,,223.606797749979,30,1.08197782844103,1e-09,10,0.01,7,12487985,8,NA
"dust",dust,negbin,detIndex_Eval4,223.606797749979,40,1.08197782844103,1e-09,10,0.01,7,673507,8,4
"fpop",fpop,negbin,,223.606797749979,40,1.08197782844103,1e-09,10,0.01,7,9015121,6,NA
"dust",dust,negbin,detIndex_Eval4,223.606797749979,50,1.08197782844103,1e-09,10,0.01,7,476748,6,5
"fpop",fpop,negbin,,223.606797749979,50,1.08197782844103,1e-09,10,0.01,7,3811237,5,NA
"dust",dust,negbin,detIndex_Eval4,500,0,1.24292161968444,1e-09,10,0.01,7,578264,2,5
"fpop",fpop,negbin,,500,0,1.24292161968444,1e-09,10,0.01,7,4353462,1,NA
"dust",dust,negbin,detIndex_Eval4,500,10,1.24292161968444,1e-09,10,0.01,7,5489408,12,6
"fpop",fpop,negbin,,500,10,1.24292161968444,1e-09,10,0.01,7,7511733,1,NA
"dust",dust,negbin,detIndex_Eval4,500,20,1.24292161968444,1e-09,10,0.01,7,694663,19,4
"fpop",fpop,negbin,,500,20,1.24292161968444,1e-09,10,0.01,7,24313451,1,NA
"dust",dust,negbin,detIndex_Eval4,500,30,1.24292161968444,1e-09,10,0.01,7,707906,22,4
"fpop",fpop,negbin,,500,30,1.24292161968444,1e-09,10,0.01,7,15973969,1,NA
"dust",dust,negbin,detIndex_Eval4,500,40,1.24292161968444,1e-09,10,0.01,7,593721,15,5
"fpop",fpop,negbin,,500,40,1.24292161968444,1e-09,10,0.01,7,5423275,5,NA
"dust",dust,negbin,detIndex_Eval4,500,50,1.24292161968444,1e-09,10,0.01,7,1418846,11,5
"fpop",fpop,negbin,,500,50,1.24292161968444,1e-09,10,0.01,7,4875433,10,NA
"dust",dust,negbin,detIndex_Eval4,100,0,0.921034037197618,1e-09,10,0.01,8,4410124,1,4
"fpop",fpop,negbin,,100,0,0.921034037197618,1e-09,10,0.01,8,6908459,1,NA
"dust",dust,negbin,detIndex_Eval4,100,10,0.921034037197618,1e-09,10,0.01,8,506678,8,6
"fpop",fpop,negbin,,100,10,0.921034037197618,1e-09,10,0.01,8,2722482,1,NA
"dust",dust,negbin,detIndex_Eval4,100,20,0.921034037197618,1e-09,10,0.01,8,480766,5,4
"fpop",fpop,negbin,,100,20,0.921034037197618,1e-09,10,0.01,8,3144044,2,NA
"dust",dust,negbin,detIndex_Eval4,100,30,0.921034037197618,1e-09,10,0.01,8,998391,7,7
"fpop",fpop,negbin,,100,30,0.921034037197618,1e-09,10,0.01,8,2896035,1,NA
"dust",dust,negbin,detIndex_Eval4,100,40,0.921034037197618,1e-09,10,0.01,8,1512285,3,5
"fpop",fpop,negbin,,100,40,0.921034037197618,1e-09,10,0.01,8,21355875,2,NA
